institution,type,doi,photo_article_title,photo_journal_title,photo_journal_volume,photo_journal_issue,photo_journal_year,photo_journal_inclusive_pages,photo_article_author,transaction_status,transaction_date,issn,base_fee,lending_library,reason_for_cancellation,call_number,location,maxcost,document_type,system_id,ifm_cost,copyright_payment_method,ccc_number,copyright_comp,article_title,journal_title,volume,issue,year,pages,article_author,x_1,cited_in,creation_date,photo_item_publisher,notes_on_access,notes,randon_number_generator,journal_volume,journal_issue,journal_year,journal_inclusive_pages,status,doi_input,doi_present,oabutton_query,oabutton_queryname,oabutton_match,oabutton_url,oabutton_type,oabutton_source,oabutton_title,oabutton_oa_result
pacific,borrow,10.1016/S0029-6465(02)00020-8,Birth in the United States: an overview of trends past and present.,Nursing clinics of North America.,37,4,2002,735-,"McCool WF,",Request Finished,42738.30428005787,0029-6465,NA,LAS,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/S0029-6465(02)00020-8,1,10.1016/S0029-6465(02)00020-8,doi,https://doi.org/10.1016/S0029-6465(02)00020-8,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1159/000308973,The effect of natural and artificial light via the eye on the hormonal and metabolic balance of animal and man.,Ophthalmologica.,180,4,1980,188-,"Hollwich, F",Request Finished,42772.332016354165,0030-3755,NA,UMS,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1159/000308973,1,10.1159/000308973,doi,https://doi.org/10.1159/000308973,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.2501/IJA-33-4-633-655,Dreaming out loud on Pinterest: New forms of indirect persuasion,International journal of advertising.,33,4,2015,633-,"Phillips, Barbara J",Request Finished,42871.33295960648,0265-0487,NA,BET,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2501/IJA-33-4-633-655,1,10.2501/IJA-33-4-633-655,doi,https://doi.org/10.2501/IJA-33-4-633-655,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1001/archneur.1995.00540260031012,Migraine and subsequent risk of stroke in the Physicians' Health Study.,Archives of neurology.,52,2,1995,129-,"Buring, J E",Request Finished,42737.297005243054,0003-9942,NA,FGM,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1001/archneur.1995.00540260031012,1,10.1001/archneur.1995.00540260031012,doi,https://doi.org/10.1001/archneur.1995.00540260031012,https://jamanetwork.com/journals/jamaneurology/article-abstract/593266,article,base,NA,oa_found
pacific,borrow,10.1001/archneur.1997.00550160012009,Association between migraine and stroke in a large-scale epidemiological study of the United States.,Archives of neurology.,54,4,1997,362-,"Merikangas, K R",Request Finished,42737.29700648148,0003-9942,NA,OKS,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1001/archneur.1997.00550160012009,1,10.1001/archneur.1997.00550160012009,doi,https://doi.org/10.1001/archneur.1997.00550160012009,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1001/archpsyc.60.3.303,A twin study of the neuropsychological consequences of stimulant abuse.,Archives of general psychiatry.,60,3,2003,303-,"Toomey, Rosemary",Request Finished,42695.31012048611,0003-990X,NA,OA,NA,NA,JOURNAL WEBSITE,NA,Article,OTH,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1001/archpsyc.60.3.303,1,10.1001/archpsyc.60.3.303,doi,https://doi.org/10.1001/archpsyc.60.3.303,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1001/jamaoncol.2016.0264,Progression-Free Survival Among Patients With Well-Different,JAMA oncology.,2,7,2016,937-40,Dickson MA;Schwartz GK;Keohan ML;D'Angelo SP;Gounder MM;Chi,Request Finished,42619.32595648148,2374-2445,NA,PRUZRC,NA,NA,NA,NA,Article,DOC,NA,NA,NA,US:CCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1001/jamaoncol.2016.0264,1,10.1001/jamaoncol.2016.0264,doi,https://doi.org/10.1001/jamaoncol.2016.0264,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC4991028&blobtype=pdf,article,eupmc,NA,oa_found
pacific,borrow,10.1002/ana.410350406,Vestibular cortex lesions affect the perception of verticality.,Annals of neurology.,35,4,1994,403-,"Brandt, T",Request Finished,42854.3208039699,0364-5134,NA,USD,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1002/ana.410350406,1,10.1002/ana.410350406,doi,https://doi.org/10.1002/ana.410350406,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1002/cd.23219863108,"The ""Goodness of Fit"" Model of Temperament--Context Relations: Interaction or Correlation?",New directions for child development.,31,NA,1986,109-120,"Windle, Michael,",Request Finished,42781.325661192124,0195-2269,NA,NOW,NA,NA,NA,NA,Book Chapter,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1002/cd.23219863108,1,10.1002/cd.23219863108,doi,https://doi.org/10.1002/cd.23219863108,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1002/ch.170,An evaluation of Barber's three-dimensional theory of hypnosis: Promise and pitfalls.,Contemporary hypnosis : the journal of the British Society of Experimental and Clinical Hypnosis.,16,3,1999,160-,"Lynn,",Request Finished,42868.306272256945,0960-5290,NA,JCU,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1002/ch.170,1,10.1002/ch.170,doi,https://doi.org/10.1002/ch.170,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1002/j.1834-4461.1982.tb01525.x,United States Government Policy and Social Stratification in American Samoa,Oceania.,53,1,1982,29-38,"Stanley K. Laughlin, Jr.",Request Finished,42704.30443179398,1834-4461,NA,NXW,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1002/j.1834-4461.1982.tb01525.x,1,10.1002/j.1834-4461.1982.tb01525.x,doi,https://doi.org/10.1002/j.1834-4461.1982.tb01525.x,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1007/BF00308809,Neuropathological stageing of Alzheimer-related changes.,Acta neuropathologica.,82,4,1991,239-,"Braak, H",Request Finished,42618.33263885417,0001-6322,NA,OKS,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/BF00308809,1,10.1007/BF00308809,doi,https://doi.org/10.1007/BF00308809,NA,NA,NA,NA,oa_not_found
pacific,borrow,10.1007/BF00345736,"The influence of vegetational diversity on the population ecology of a specialized herbivore, Phyllotreta cruciferae (Coleoptera: Chrysomelidae)",Oecologia.,10,4,1972,321-346,"Tahvanainen, Jorma",Request Finished,42753.30462820602,0029-8549,NA,TET,NA,NA,NA,NA,Article,OCLC,NA,NA,NA,US:CCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/BF00345736,1,10.1007/BF00345736,doi,https://doi.org/10.1007/BF00345736,NA,NA,NA,NA,oa_not_found
